,country_name,casted,gender,education,employement,closeness_party,turnout,women_in_parliament
227,Australia,95,2,7,7,3,93.82,999.0
228,Australia,95,1,7,1,2,89.49,999.0
229,Australia,95,2,8,2,2,93.38,999.0
230,Australia,95,1,5,1,9,93.34,999.0
231,Australia,95,1,5,5,9,90.92,999.0
232,Australia,95,2,6,2,9,999.0,999.0
233,Australia,95,2,7,2,2,93.11,999.0
234,Australia,95,2,4,7,9,93.31,999.0
235,Australia,95,2,4,2,9,94.97,999.0
236,Australia,95,2,7,1,2,93.47,999.0
237,Australia,95,2,8,1,2,94.09,999.0
238,Australia,95,1,8,1,1,89.49,999.0
239,Australia,95,1,8,7,3,92.53,999.0
240,Australia,95,1,7,2,3,94.68,999.0
241,Australia,95,2,8,7,2,93.01,999.0
242,Australia,95,1,7,6,9,91.05,999.0
243,Australia,95,2,4,7,1,92.88,999.0
244,Australia,95,1,4,7,2,92.85,999.0
245,Australia,95,1,4,1,9,999.0,999.0
246,Australia,95,1,6,7,9,93.66,999.0
247,Australia,95,2,6,1,2,92.62,999.0
248,Australia,95,1,4,1,9,89.21,999.0
249,Australia,95,2,8,8,2,93.82,999.0
250,Australia,95,2,8,2,9,91.18,999.0
251,Australia,95,2,7,1,2,92.4,999.0
252,Australia,95,2,4,8,1,94.13,999.0
253,Australia,95,1,7,1,3,92.87,999.0
254,Australia,95,1,7,9,9,89.92,999.0
255,Australia,95,1,5,5,9,89.21,999.0
256,Australia,95,2,8,1,1,92.87,999.0
257,Australia,95,1,7,6,2,92.98,999.0
258,Australia,95,2,4,3,2,93.45,999.0
259,Australia,95,2,6,2,2,93.24,999.0
260,Australia,95,1,7,1,9,89.45,999.0
261,Australia,95,2,4,7,2,94.09,999.0
262,Australia,95,1,7,1,2,91.6,999.0
263,Australia,95,2,99,7,1,92.03,999.0
264,Australia,95,2,6,1,3,93.73,999.0
265,Australia,95,1,7,7,2,92.85,999.0
266,Australia,95,2,7,2,2,92.72,999.0
267,Australia,95,1,7,1,3,94.39,999.0
268,Australia,95,1,6,1,2,94.18,999.0
269,Australia,95,1,4,3,1,91.05,999.0
270,Australia,95,1,4,7,1,90.28,999.0
271,Australia,95,1,6,1,1,92.65,999.0
272,Australia,95,1,8,1,2,92.4,999.0
273,Australia,95,2,99,7,1,94.35,999.0
274,Australia,95,1,7,1,9,93.45,999.0
275,Australia,95,2,7,7,9,90.51,999.0
276,Australia,95,2,7,2,2,89.1,999.0
277,Australia,95,2,6,1,3,999.0,999.0
278,Australia,95,1,4,2,3,91.3,999.0
279,Australia,95,1,8,7,1,93.65,999.0
280,Australia,95,1,4,7,1,89.96,999.0
281,Australia,95,2,7,7,2,93.05,999.0
282,Australia,95,2,5,1,9,999.0,999.0
283,Australia,95,2,8,2,9,999.0,999.0
284,Australia,95,1,7,1,9,999.0,999.0
285,Australia,95,1,5,2,1,92.72,999.0
286,Australia,95,2,8,7,2,91.6,999.0
287,Australia,95,2,8,1,2,91.33,999.0
288,Australia,95,1,5,1,1,94.53,999.0
289,Australia,95,1,7,1,2,89.4,999.0
290,Australia,95,2,8,7,2,91.67,999.0
291,Australia,95,1,7,1,2,92.15,999.0
292,Australia,95,2,4,7,1,91.44,999.0
293,Australia,95,1,8,7,2,93.05,999.0
294,Australia,95,1,8,1,2,92.37,999.0
295,Australia,95,2,6,1,9,89.61,999.0
296,Australia,95,1,5,2,9,93.99,999.0
297,Australia,95,1,6,7,2,94.35,999.0
298,Australia,95,2,4,6,2,93.3,999.0
299,Australia,95,1,8,1,2,92.4,999.0
300,Australia,95,1,7,1,1,90.54,999.0
301,Australia,95,1,7,1,2,93.73,999.0
302,Australia,95,1,7,4,2,93.24,999.0
303,Australia,95,2,6,1,9,92.65,999.0
304,Australia,95,1,5,2,2,89.21,999.0
305,Australia,95,1,5,1,9,999.0,999.0
306,Australia,95,2,7,2,2,91.18,999.0
307,Australia,95,1,7,7,9,94.18,999.0
308,Australia,95,2,7,1,3,92.62,999.0
309,Australia,95,2,99,7,2,88.57,999.0
310,Australia,95,1,7,1,2,89.1,999.0
311,Australia,95,1,8,6,9,999.0,999.0
312,Australia,95,2,4,7,2,93.03,999.0
313,Australia,95,1,7,3,2,92.26,999.0
314,Australia,95,1,7,1,1,91.05,999.0
